60236.89      1323.02        61559.9
81191.32      896.78        82088.1
23866.67      985.18        24851.85
87248.31      953.11        88201.42
3631.68      0        3631.68
706.85      0        706.85
4536.45      0        4536.45
68131.71      1485.11        69616.82
110577.77      1363.06        111940.83
79300.08      1332.18        80632.26
55471.1      1038.04        56509.14
0      0        0
6961.76      918.55        7880.31
46561.54      380.84        46942.38
67107.56      1190.39        68297.95
3267.25      165.52        3432.77
8843.58      961.15        9804.73
19817.16      1075.23        20892.39
23100.13      1000.21        24100.34
1256.63      0        1256.63
56523.53      1366.85        57890.38
128563.39      1438.39        130001.78
15714.24      1366.3        17080.54
15346.68      1072.63        16419.31
84530.83      1115.78        85646.61
1134.11      0        1134.11
5026.54      0        5026.54
0      0        0
16480.79      392        16872.79
0      0        0
0      0        0
3022.21      485.52        3507.73
5089.38      419.23        5508.61
2635.79      728.4        3364.19
99547.64      1281.98        100829.62
25525.44      1200.9        26726.34
58022.07      754.02        58776.09
6188.93      202.15        6391.08
23103.27      1135.9        24239.17
104976.31      1399.83        106376.14
